ogc_fid,time,wkb_geometry
11349,2024-01-19 16:29:03.000 +1100,POINT (153.42576815726574 -27.958044578336466)
11350,2024-01-19 16:29:04.000 +1100,POINT (153.42561563742632 -27.958257059168318)
11351,2024-01-19 16:29:05.000 +1100,POINT (153.42556455781005 -27.95828124801012)
11352,2024-01-19 16:29:06.000 +1100,POINT (153.4255203851667 -27.95830211895126)
11353,2024-01-19 16:29:07.000 +1100,POINT (153.42547577415152 -27.958323279638815)
11354,2024-01-19 16:29:18.000 +1100,POINT (153.42498806268983 -27.958554748266856)
11355,2024-01-19 16:30:33.000 +1100,POINT (153.42609850851355 -27.957952036031287)
11356,2024-01-19 16:30:34.000 +1100,POINT (153.4260752343853 -27.958028288486467)
11357,2024-01-19 16:30:35.000 +1100,POINT (153.42607052462805 -27.95800713624393)
11358,2024-01-19 16:30:36.000 +1100,POINT (153.42606668897312 -27.957988942643077)
11359,2024-01-19 16:30:38.000 +1100,POINT (153.42607528057923 -27.95800539991542)
11360,2024-01-19 16:30:41.000 +1100,POINT (153.42609173361933 -27.958021982941332)
11361,2024-01-19 16:30:46.000 +1100,POINT (153.42599456841302 -27.95805699791745)
11362,2024-01-19 16:30:47.000 +1100,POINT (153.42595529690357 -27.958061059397863)
11363,2024-01-19 16:30:48.000 +1100,POINT (153.4260911469434 -27.957830518661233)
11364,2024-01-19 16:30:49.000 +1100,POINT (153.42613538384947 -27.957848519697233)
11365,2024-01-19 16:30:51.000 +1100,POINT (153.42615169422183 -27.95786269529786)
11366,2024-01-19 16:30:59.000 +1100,POINT (153.42625643533515 -27.95799109984708)
11367,2024-01-19 16:31:01.000 +1100,POINT (153.4262611114965 -27.95802508902863)
11368,2024-01-19 16:31:03.000 +1100,POINT (153.42619026535866 -27.957924483552393)
11369,2024-01-19 16:31:10.000 +1100,POINT (153.42615291537882 -27.957919131657167)
11370,2024-01-19 16:31:11.000 +1100,POINT (153.42615280529054 -27.957919251846157)
11371,2024-01-19 16:31:12.000 +1100,POINT (153.426199078059 -27.957853854125002)
11372,2024-01-19 16:31:13.000 +1100,POINT (153.42617453031914 -27.957814803045597)
11373,2024-01-19 16:31:16.000 +1100,POINT (153.42616845258388 -27.957827376762697)
11374,2024-01-19 16:31:17.000 +1100,POINT (153.42603524908176 -27.957825323776635)
11375,2024-01-19 16:31:19.000 +1100,POINT (153.42605872229936 -27.95781851253574)
11376,2024-01-19 16:31:21.000 +1100,POINT (153.42608223909585 -27.957802341736034)
11377,2024-01-19 16:31:27.000 +1100,POINT (153.4260865194361 -27.957810662384325)
11378,2024-01-19 16:31:32.000 +1100,POINT (153.42614451284658 -27.957844387916253)
11379,2024-01-19 16:31:43.000 +1100,POINT (153.4261382354194 -27.957870311158374)
11380,2024-01-19 16:31:46.000 +1100,POINT (153.4260841896115 -27.957834727930507)
11381,2024-01-19 16:31:49.000 +1100,POINT (153.42608692325942 -27.957835146555798)
11382,2024-01-19 16:31:51.000 +1100,POINT (153.42608692325942 -27.957835146555798)
11383,2024-01-19 16:31:57.000 +1100,POINT (153.4261590698551 -27.95785665238285)
11384,2024-01-19 16:32:03.000 +1100,POINT (153.42614124460314 -27.957845039705933)
11385,2024-01-19 16:32:10.000 +1100,POINT (153.42620374503957 -27.9578084339138)
11386,2024-01-19 16:32:14.000 +1100,POINT (153.42623238554899 -27.957777704390846)
11387,2024-01-19 16:32:20.000 +1100,POINT (153.42620998454063 -27.957782545957617)
11388,2024-01-19 16:32:29.000 +1100,POINT (153.42621703987763 -27.95776409871275)
11389,2024-01-19 16:32:38.000 +1100,POINT (153.42616919750415 -27.957776852947745)
11390,2024-01-19 16:32:43.000 +1100,POINT (153.42618855654348 -27.95778242648155)
11391,2024-01-19 16:32:47.000 +1100,POINT (153.42618714973767 -27.95777105283698)
11392,2024-01-19 16:33:05.000 +1100,POINT (153.42615409528798 -27.9577765746609)
11393,2024-01-19 16:33:16.000 +1100,POINT (153.42614130175193 -27.95779353808676)
11394,2024-01-19 16:33:17.000 +1100,POINT (153.42616345270895 -27.957784214617803)
11395,2024-01-19 16:33:18.000 +1100,POINT (153.42620881969668 -27.957750446450614)
11396,2024-01-19 16:33:19.000 +1100,POINT (153.4262521480448 -27.957839049025377)
11397,2024-01-19 16:33:20.000 +1100,POINT (153.42615513242205 -27.957720364125)
11398,2024-01-19 16:33:21.000 +1100,POINT (153.42615349519247 -27.957714554680805)
11399,2024-01-19 16:33:23.000 +1100,POINT (153.42615349519247 -27.957714554680805)
11400,2024-01-19 16:33:24.000 +1100,POINT (153.42615349519247 -27.957714554680805)
11401,2024-01-19 16:33:25.000 +1100,POINT (153.42615349519247 -27.957714554680805)
11402,2024-01-19 16:33:27.000 +1100,POINT (153.42615349519247 -27.957714554680805)
11403,2024-01-19 16:33:32.000 +1100,POINT (153.42615349519247 -27.957714554680805)
11404,2024-01-19 16:37:11.000 +1100,POINT (153.42627579261588 -27.957839958366232)
11405,2024-01-19 16:39:18.000 +1100,POINT (153.42641207283668 -27.957730596399156)
11406,2024-01-19 16:39:22.000 +1100,POINT (153.4263977757638 -27.957783110539406)
11407,2024-01-19 16:39:23.000 +1100,POINT (153.4263977757638 -27.957783110539406)
11408,2024-01-19 16:39:25.000 +1100,POINT (153.42640014173963 -27.957808437130797)
11409,2024-01-19 16:39:28.000 +1100,POINT (153.42641393438674 -27.957827065878302)
11410,2024-01-19 16:40:03.000 +1100,POINT (153.42664373499915 -27.957977484283347)
11411,2024-01-19 16:40:04.000 +1100,POINT (153.42656233253135 -27.957965530085968)
11412,2024-01-19 16:40:05.000 +1100,POINT (153.42653915495436 -27.957994486758743)
11413,2024-01-19 16:40:08.000 +1100,POINT (153.4265387376094 -27.958016415739763)
11414,2024-01-19 16:40:11.000 +1100,POINT (153.42654938264047 -27.958041230213084)
11415,2024-01-19 16:40:14.000 +1100,POINT (153.42652904582778 -27.958061209617544)
11416,2024-01-19 16:40:17.000 +1100,POINT (153.42650373350006 -27.95807476449207)
11417,2024-01-19 16:40:19.000 +1100,POINT (153.42647900349473 -27.958097180036102)
11418,2024-01-19 16:40:21.000 +1100,POINT (153.42645968645 -27.958113329897746)
11419,2024-01-19 16:40:24.000 +1100,POINT (153.42647049513263 -27.95809362413223)
11420,2024-01-19 16:40:26.000 +1100,POINT (153.42645393474945 -27.95810526675607)
11421,2024-01-19 16:40:34.000 +1100,POINT (153.42642667305617 -27.958105110698334)
11422,2024-01-19 16:40:36.000 +1100,POINT (153.42639303911147 -27.958097090768543)
11423,2024-01-19 16:40:40.000 +1100,POINT (153.4263697095736 -27.958109734854567)
11424,2024-01-19 16:40:42.000 +1100,POINT (153.426354693396 -27.958051643831894)
11425,2024-01-19 16:40:43.000 +1100,POINT (153.42633290676844 -27.957902562989933)
11426,2024-01-19 16:40:44.000 +1100,POINT (153.42636956235248 -27.957824992502626)
11427,2024-01-19 16:40:45.000 +1100,POINT (153.42635951284507 -27.957802095240535)
11428,2024-01-19 16:40:46.000 +1100,POINT (153.42635671397647 -27.95784552330994)
11429,2024-01-19 16:40:49.000 +1100,POINT (153.42635036532707 -27.957818333973954)
11430,2024-01-19 16:40:51.000 +1100,POINT (153.42631590565884 -27.95803450325531)
11431,2024-01-19 16:40:52.000 +1100,POINT (153.42637820013434 -27.958099961738508)
11432,2024-01-19 16:40:53.000 +1100,POINT (153.4263520255985 -27.958122535427965)
11433,2024-01-19 16:40:54.000 +1100,POINT (153.42632724780213 -27.95810487829568)
11434,2024-01-19 16:40:59.000 +1100,POINT (153.4262903790777 -27.958093118168964)
11435,2024-01-19 16:41:01.000 +1100,POINT (153.42624477308172 -27.958095158246536)
11436,2024-01-19 16:41:02.000 +1100,POINT (153.42621480675484 -27.958087759734465)
11437,2024-01-19 16:41:04.000 +1100,POINT (153.42618866076964 -27.958074094749325)
11438,2024-01-19 16:41:08.000 +1100,POINT (153.42616808334213 -27.95806884297381)
11439,2024-01-19 16:41:11.000 +1100,POINT (153.42615092528484 -27.958054886367865)
11440,2024-01-19 16:41:13.000 +1100,POINT (153.4261281181813 -27.95805063525616)
11441,2024-01-19 16:41:15.000 +1100,POINT (153.42606435113134 -27.958043259741157)
11442,2024-01-19 16:41:16.000 +1100,POINT (153.42606935365214 -27.9580612867916)
11443,2024-01-19 16:41:19.000 +1100,POINT (153.4260450468542 -27.958065250748977)
11444,2024-01-19 16:41:22.000 +1100,POINT (153.42602446043233 -27.95806085412668)
11445,2024-01-19 16:41:24.000 +1100,POINT (153.42601031827462 -27.958035250100227)
11446,2024-01-19 16:41:25.000 +1100,POINT (153.42599723479944 -27.958020485702377)
11447,2024-01-19 16:41:29.000 +1100,POINT (153.42601424284044 -27.958005781152927)
11448,2024-01-19 16:41:31.000 +1100,POINT (153.42598217435088 -27.957990104310756)
11449,2024-01-19 16:41:33.000 +1100,POINT (153.42593208746726 -27.95799609507505)
11450,2024-01-19 16:41:34.000 +1100,POINT (153.42590749031697 -27.958007468226302)
11451,2024-01-19 16:41:35.000 +1100,POINT (153.42588407865568 -27.95802473283408)
11452,2024-01-19 16:41:37.000 +1100,POINT (153.4258506292818 -27.958036304552905)
11453,2024-01-19 16:41:38.000 +1100,POINT (153.4258250558756 -27.958036349523102)
11454,2024-01-19 16:41:40.000 +1100,POINT (153.42580095932206 -27.958035428585475)
11455,2024-01-19 16:41:42.000 +1100,POINT (153.42577971201342 -27.958032503673213)
11456,2024-01-19 16:41:46.000 +1100,POINT (153.42577719951265 -27.958052042849992)
11457,2024-01-19 16:41:49.000 +1100,POINT (153.42576301702675 -27.958070672298767)
11458,2024-01-19 16:41:53.000 +1100,POINT (153.42576579068432 -27.958098328120467)
11459,2024-01-19 16:41:55.000 +1100,POINT (153.4257612393494 -27.958129656954778)
11460,2024-01-19 16:41:58.000 +1100,POINT (153.42576860387473 -27.95815568743616)
11461,2024-01-19 16:42:00.000 +1100,POINT (153.42576594634835 -27.95817836799891)
