ogc_fid,time,wkb_geometry,date,hour,minute,second,longitude,latitude
11246,16:21:54.000,POINT (153.42483495330822 -27.958430798085214),2024-01-19,16,21,54.000,153.42483495330822,-27.958430798085214
11247,16:21:56.000,POINT (153.42485306856668 -27.958412299193853),2024-01-19,16,21,56.000,153.42485306856668,-27.958412299193853
11248,16:21:58.000,POINT (153.42487872854542 -27.958396083499732),2024-01-19,16,21,58.000,153.42487872854542,-27.958396083499732
11249,16:22:00.000,POINT (153.4249056870302 -27.958381224176982),2024-01-19,16,22,00.000,153.4249056870302,-27.958381224176982
11250,16:22:02.000,POINT (153.4249175580999 -27.9583628390418),2024-01-19,16,22,02.000,153.4249175580999,-27.9583628390418
11251,16:22:04.000,POINT (153.42492392482097 -27.958344193171374),2024-01-19,16,22,04.000,153.42492392482097,-27.958344193171374
11252,16:22:06.000,POINT (153.4249280142036 -27.958321905035657),2024-01-19,16,22,06.000,153.4249280142036,-27.958321905035657
11253,16:22:09.000,POINT (153.42492942304608 -27.95829661826872),2024-01-19,16,22,09.000,153.42492942304608,-27.95829661826872
11254,16:22:11.000,POINT (153.42493641164936 -27.958273357966384),2024-01-19,16,22,11.000,153.42493641164936,-27.958273357966384
11255,16:22:13.000,POINT (153.4249432697464 -27.95824988417681),2024-01-19,16,22,13.000,153.4249432697464,-27.95824988417681
11256,16:22:15.000,POINT (153.42494470859486 -27.958228061662606),2024-01-19,16,22,15.000,153.42494470859486,-27.958228061662606
11257,16:22:17.000,POINT (153.42495307036353 -27.958211239275926),2024-01-19,16,22,17.000,153.42495307036353,-27.958211239275926
11258,16:22:20.000,POINT (153.4249715218342 -27.9581887814846),2024-01-19,16,22,20.000,153.4249715218342,-27.9581887814846
11259,16:22:22.000,POINT (153.4249786004224 -27.95816593640195),2024-01-19,16,22,22.000,153.4249786004224,-27.95816593640195
11260,16:22:24.000,POINT (153.42499194534167 -27.958148108476163),2024-01-19,16,22,24.000,153.42499194534167,-27.958148108476163
11261,16:22:29.000,POINT (153.4250051201443 -27.95813333751345),2024-01-19,16,22,29.000,153.4250051201443,-27.95813333751345
11262,16:22:40.000,POINT (153.42502768831596 -27.95811013887244),2024-01-19,16,22,40.000,153.42502768831596,-27.95811013887244
11263,16:22:50.000,POINT (153.42501008049487 -27.95812232652408),2024-01-19,16,22,50.000,153.42501008049487,-27.95812232652408
11264,16:23:03.000,POINT (153.4250139127597 -27.958103101939766),2024-01-19,16,23,03.000,153.4250139127597,-27.958103101939766
11265,16:23:06.000,POINT (153.42501806299302 -27.9580782006582),2024-01-19,16,23,06.000,153.42501806299302,-27.9580782006582
11266,16:23:10.000,POINT (153.42502540448913 -27.958055606622057),2024-01-19,16,23,10.000,153.42502540448913,-27.958055606622057
11267,16:23:20.000,POINT (153.42505273756774 -27.958053443974293),2024-01-19,16,23,20.000,153.42505273756774,-27.958053443974293
11268,16:23:41.000,POINT (153.42502411267188 -27.95807632657764),2024-01-19,16,23,41.000,153.42502411267188,-27.95807632657764
11269,16:23:50.000,POINT (153.4250452098939 -27.95805964702963),2024-01-19,16,23,50.000,153.4250452098939,-27.95805964702963
11270,16:23:56.000,POINT (153.42506227784187 -27.958049375818536),2024-01-19,16,23,56.000,153.42506227784187,-27.958049375818536
11271,16:24:03.000,POINT (153.4250649852813 -27.958024072299075),2024-01-19,16,24,03.000,153.4250649852813,-27.958024072299075
11272,16:24:06.000,POINT (153.4250653460002 -27.95800124019153),2024-01-19,16,24,06.000,153.4250653460002,-27.95800124019153
11273,16:24:08.000,POINT (153.4250717009529 -27.957983875832326),2024-01-19,16,24,08.000,153.4250717009529,-27.957983875832326
11274,16:24:11.000,POINT (153.42506317061344 -27.95795897078497),2024-01-19,16,24,11.000,153.42506317061344,-27.95795897078497
11275,16:24:14.000,POINT (153.42508078838026 -27.957949538348824),2024-01-19,16,24,14.000,153.42508078838026,-27.957949538348824
11276,16:24:16.000,POINT (153.4251065297067 -27.95793125254241),2024-01-19,16,24,16.000,153.4251065297067,-27.95793125254241
11277,16:24:18.000,POINT (153.42512860554015 -27.957919703062764),2024-01-19,16,24,18.000,153.42512860554015,-27.957919703062764
11278,16:24:20.000,POINT (153.4251511633292 -27.957892699764937),2024-01-19,16,24,20.000,153.4251511633292,-27.957892699764937
11279,16:24:22.000,POINT (153.42517059815677 -27.957876315951985),2024-01-19,16,24,22.000,153.42517059815677,-27.957876315951985
11280,16:24:24.000,POINT (153.42519834872303 -27.957862902915046),2024-01-19,16,24,24.000,153.42519834872303,-27.957862902915046
11281,16:24:26.000,POINT (153.42522365737724 -27.957863150777367),2024-01-19,16,24,26.000,153.42522365737724,-27.957863150777367
11282,16:24:28.000,POINT (153.42524786247947 -27.957863805731133),2024-01-19,16,24,28.000,153.42524786247947,-27.957863805731133
11283,16:24:30.000,POINT (153.42528184112962 -27.95785996263119),2024-01-19,16,24,30.000,153.42528184112962,-27.95785996263119
11284,16:24:32.000,POINT (153.4253110803979 -27.957855171678315),2024-01-19,16,24,32.000,153.4253110803979,-27.957855171678315
11285,16:24:34.000,POINT (153.42534641730978 -27.957856600475623),2024-01-19,16,24,34.000,153.42534641730978,-27.957856600475623
11286,16:24:36.000,POINT (153.42537566746734 -27.957861374581686),2024-01-19,16,24,36.000,153.42537566746734,-27.957861374581686
11287,16:24:38.000,POINT (153.42540449405303 -27.957862677082904),2024-01-19,16,24,38.000,153.42540449405303,-27.957862677082904
11288,16:24:41.000,POINT (153.4254240800938 -27.957878068656697),2024-01-19,16,24,41.000,153.4254240800938,-27.957878068656697
11289,16:24:43.000,POINT (153.42544441706846 -27.957885700978903),2024-01-19,16,24,43.000,153.42544441706846,-27.957885700978903
11290,16:24:46.000,POINT (153.42546881952836 -27.95789717505414),2024-01-19,16,24,46.000,153.42546881952836,-27.95789717505414
11291,16:24:49.000,POINT (153.4254946376747 -27.95791329005788),2024-01-19,16,24,49.000,153.4254946376747,-27.95791329005788
11292,16:24:51.000,POINT (153.4255159567952 -27.957906950391106),2024-01-19,16,24,51.000,153.4255159567952,-27.957906950391106
11293,16:24:53.000,POINT (153.4255512372939 -27.957909123055604),2024-01-19,16,24,53.000,153.4255512372939,-27.957909123055604
11294,16:24:54.000,POINT (153.42557069482663 -27.957915914211476),2024-01-19,16,24,54.000,153.42557069482663,-27.957915914211476
11295,16:24:57.000,POINT (153.42559820673767 -27.95792522768043),2024-01-19,16,24,57.000,153.42559820673767,-27.95792522768043
11296,16:24:58.000,POINT (153.4256256979535 -27.957915604109495),2024-01-19,16,24,58.000,153.4256256979535,-27.957915604109495
11297,16:24:59.000,POINT (153.42564742165155 -27.957910422758996),2024-01-19,16,24,59.000,153.42564742165155,-27.957910422758996
11298,16:25:01.000,POINT (153.42567635932377 -27.957920987486983),2024-01-19,16,25,01.000,153.42567635932377,-27.957920987486983
11299,16:25:03.000,POINT (153.4256977420894 -27.95792940756131),2024-01-19,16,25,03.000,153.4256977420894,-27.95792940756131
11300,16:25:05.000,POINT (153.42572460872378 -27.95793572845912),2024-01-19,16,25,05.000,153.42572460872378,-27.95793572845912
11301,16:25:07.000,POINT (153.42574517753488 -27.957955281054424),2024-01-19,16,25,07.000,153.42574517753488,-27.957955281054424
11302,16:25:10.000,POINT (153.42576602307508 -27.957945625876548),2024-01-19,16,25,10.000,153.42576602307508,-27.957945625876548
11303,16:25:25.000,POINT (153.4257484235942 -27.957956702200413),2024-01-19,16,25,25.000,153.4257484235942,-27.957956702200413
11304,16:25:28.000,POINT (153.42577294587858 -27.957958391414152),2024-01-19,16,25,28.000,153.42577294587858,-27.957958391414152
11305,16:25:31.000,POINT (153.42579721685192 -27.957951097326184),2024-01-19,16,25,31.000,153.42579721685192,-27.957951097326184
11306,16:25:34.000,POINT (153.42582167539553 -27.95794925591472),2024-01-19,16,25,34.000,153.42582167539553,-27.95794925591472
11307,16:25:54.000,POINT (153.42581615313722 -27.957972254506764),2024-01-19,16,25,54.000,153.42581615313722,-27.957972254506764
11308,16:26:00.000,POINT (153.4258423325385 -27.95797591158172),2024-01-19,16,26,00.000,153.4258423325385,-27.95797591158172
11309,16:26:06.000,POINT (153.42585685048513 -27.957992742239323),2024-01-19,16,26,06.000,153.42585685048513,-27.957992742239323
11310,16:26:10.000,POINT (153.42589456321355 -27.957998744909606),2024-01-19,16,26,10.000,153.42589456321355,-27.957998744909606
11311,16:26:13.000,POINT (153.42590945685464 -27.958015527187655),2024-01-19,16,26,13.000,153.42590945685464,-27.958015527187655
11312,16:26:15.000,POINT (153.4259182293193 -27.958037230982065),2024-01-19,16,26,15.000,153.4259182293193,-27.958037230982065
11313,16:26:17.000,POINT (153.42595609692836 -27.958037875307163),2024-01-19,16,26,17.000,153.42595609692836,-27.958037875307163
11314,16:26:19.000,POINT (153.42598497923788 -27.95804271004684),2024-01-19,16,26,19.000,153.42598497923788,-27.95804271004684
11315,16:26:20.000,POINT (153.42601464780256 -27.958039742733718),2024-01-19,16,26,20.000,153.42601464780256,-27.958039742733718
11316,16:26:22.000,POINT (153.42604040211276 -27.958045026241592),2024-01-19,16,26,22.000,153.42604040211276,-27.958045026241592
11317,16:26:25.000,POINT (153.42606536003478 -27.958029999037304),2024-01-19,16,26,25.000,153.42606536003478,-27.958029999037304
11318,16:26:27.000,POINT (153.42609137764802 -27.95802440741885),2024-01-19,16,26,27.000,153.42609137764802,-27.95802440741885
11319,16:26:29.000,POINT (153.4261262798651 -27.958035478463888),2024-01-19,16,26,29.000,153.4261262798651,-27.958035478463888
11320,16:26:30.000,POINT (153.4261490224648 -27.958036392063477),2024-01-19,16,26,30.000,153.4261490224648,-27.958036392063477
11321,16:26:33.000,POINT (153.42616533584035 -27.958020071610466),2024-01-19,16,26,33.000,153.42616533584035,-27.958020071610466
11322,16:26:37.000,POINT (153.42617981206791 -27.958033028882156),2024-01-19,16,26,37.000,153.42617981206791,-27.958033028882156
11323,16:26:40.000,POINT (153.4262016337404 -27.95804379773299),2024-01-19,16,26,40.000,153.4262016337404,-27.95804379773299
11324,16:26:48.000,POINT (153.42622272640995 -27.958038312366302),2024-01-19,16,26,48.000,153.42622272640995,-27.958038312366302
11325,16:26:51.000,POINT (153.42624392636472 -27.958037423487966),2024-01-19,16,26,51.000,153.42624392636472,-27.958037423487966
11326,16:27:00.000,POINT (153.42623512210588 -27.958054014322087),2024-01-19,16,27,00.000,153.42623512210588,-27.958054014322087
11327,16:27:11.000,POINT (153.426255984438 -27.958075203906315),2024-01-19,16,27,11.000,153.426255984438,-27.958075203906315
11328,16:27:14.000,POINT (153.42627392661518 -27.958084189726243),2024-01-19,16,27,14.000,153.42627392661518,-27.958084189726243
11329,16:27:17.000,POINT (153.42629844925725 -27.958078753088607),2024-01-19,16,27,17.000,153.42629844925725,-27.958078753088607
11330,16:27:20.000,POINT (153.42631007476243 -27.958093858672928),2024-01-19,16,27,20.000,153.42631007476243,-27.958093858672928
11331,16:27:24.000,POINT (153.42631653746022 -27.95811586964764),2024-01-19,16,27,24.000,153.42631653746022,-27.95811586964764
11332,16:27:29.000,POINT (153.42631824886323 -27.958095755189767),2024-01-19,16,27,29.000,153.42631824886323,-27.958095755189767
11333,16:27:31.000,POINT (153.4263193419382 -27.95811722734325),2024-01-19,16,27,31.000,153.4263193419382,-27.95811722734325
11334,16:27:37.000,POINT (153.42632510540986 -27.958136735172324),2024-01-19,16,27,37.000,153.42632510540986,-27.958136735172324
11335,16:27:50.000,POINT (153.42634692456716 -27.958081466357516),2024-01-19,16,27,50.000,153.42634692456716,-27.958081466357516
11336,16:27:58.000,POINT (153.42636363020685 -27.958104225049922),2024-01-19,16,27,58.000,153.42636363020685,-27.958104225049922
11337,16:28:12.000,POINT (153.42633441932753 -27.958124197704006),2024-01-19,16,28,12.000,153.42633441932753,-27.958124197704006
11338,16:28:18.000,POINT (153.4263426996104 -27.958105865758178),2024-01-19,16,28,18.000,153.4263426996104,-27.958105865758178
11339,16:28:32.000,POINT (153.4263075755172 -27.95808469782519),2024-01-19,16,28,32.000,153.4263075755172,-27.95808469782519
11340,16:28:46.000,POINT (153.4263315484317 -27.95808307678481),2024-01-19,16,28,46.000,153.4263315484317,-27.95808307678481
11341,16:28:55.000,POINT (153.42616893486104 -27.957999684838196),2024-01-19,16,28,55.000,153.42616893486104,-27.957999684838196
11342,16:28:56.000,POINT (153.42613139386532 -27.95799623837838),2024-01-19,16,28,56.000,153.42613139386532,-27.95799623837838
11343,16:28:57.000,POINT (153.42608974901523 -27.95799181983681),2024-01-19,16,28,57.000,153.42608974901523,-27.95799181983681
11344,16:28:58.000,POINT (153.42603997432727 -27.957995363071845),2024-01-19,16,28,58.000,153.42603997432727,-27.957995363071845
11345,16:28:59.000,POINT (153.4259957370195 -27.958000052170977),2024-01-19,16,28,59.000,153.4259957370195,-27.958000052170977
11346,16:29:00.000,POINT (153.42594896599954 -27.958003025140684),2024-01-19,16,29,00.000,153.42594896599954,-27.958003025140684
11347,16:29:01.000,POINT (153.4259000425934 -27.958004825648718),2024-01-19,16,29,01.000,153.4259000425934,-27.958004825648718
11348,16:29:02.000,POINT (153.42582899316616 -27.958024753809166),2024-01-19,16,29,02.000,153.42582899316616,-27.958024753809166
11349,16:29:03.000,POINT (153.42576815726574 -27.958044578336466),2024-01-19,16,29,03.000,153.42576815726574,-27.958044578336466
11350,16:29:04.000,POINT (153.42561563742632 -27.958257059168318),2024-01-19,16,29,04.000,153.42561563742632,-27.958257059168318
11351,16:29:05.000,POINT (153.42556455781005 -27.95828124801012),2024-01-19,16,29,05.000,153.42556455781005,-27.95828124801012
11352,16:29:06.000,POINT (153.4255203851667 -27.95830211895126),2024-01-19,16,29,06.000,153.4255203851667,-27.95830211895126
11353,16:29:07.000,POINT (153.42547577415152 -27.958323279638815),2024-01-19,16,29,07.000,153.42547577415152,-27.958323279638815
11354,16:29:18.000,POINT (153.42498806268983 -27.958554748266856),2024-01-19,16,29,18.000,153.42498806268983,-27.958554748266856
11355,16:30:33.000,POINT (153.42609850851355 -27.957952036031287),2024-01-19,16,30,33.000,153.42609850851355,-27.957952036031287
11356,16:30:34.000,POINT (153.4260752343853 -27.958028288486467),2024-01-19,16,30,34.000,153.4260752343853,-27.958028288486467
11357,16:30:35.000,POINT (153.42607052462805 -27.95800713624393),2024-01-19,16,30,35.000,153.42607052462805,-27.95800713624393
11358,16:30:36.000,POINT (153.42606668897312 -27.957988942643077),2024-01-19,16,30,36.000,153.42606668897312,-27.957988942643077
11359,16:30:38.000,POINT (153.42607528057923 -27.95800539991542),2024-01-19,16,30,38.000,153.42607528057923,-27.95800539991542
11360,16:30:41.000,POINT (153.42609173361933 -27.958021982941332),2024-01-19,16,30,41.000,153.42609173361933,-27.958021982941332
11361,16:30:46.000,POINT (153.42599456841302 -27.95805699791745),2024-01-19,16,30,46.000,153.42599456841302,-27.95805699791745
11362,16:30:47.000,POINT (153.42595529690357 -27.958061059397863),2024-01-19,16,30,47.000,153.42595529690357,-27.958061059397863
11363,16:30:48.000,POINT (153.4260911469434 -27.957830518661233),2024-01-19,16,30,48.000,153.4260911469434,-27.957830518661233
11364,16:30:49.000,POINT (153.42613538384947 -27.957848519697233),2024-01-19,16,30,49.000,153.42613538384947,-27.957848519697233
11365,16:30:51.000,POINT (153.42615169422183 -27.95786269529786),2024-01-19,16,30,51.000,153.42615169422183,-27.95786269529786
11366,16:30:59.000,POINT (153.42625643533515 -27.95799109984708),2024-01-19,16,30,59.000,153.42625643533515,-27.95799109984708
11367,16:31:01.000,POINT (153.4262611114965 -27.95802508902863),2024-01-19,16,31,01.000,153.4262611114965,-27.95802508902863
11368,16:31:03.000,POINT (153.42619026535866 -27.957924483552393),2024-01-19,16,31,03.000,153.42619026535866,-27.957924483552393
11369,16:31:10.000,POINT (153.42615291537882 -27.957919131657167),2024-01-19,16,31,10.000,153.42615291537882,-27.957919131657167
11370,16:31:11.000,POINT (153.42615280529054 -27.957919251846157),2024-01-19,16,31,11.000,153.42615280529054,-27.957919251846157
11371,16:31:12.000,POINT (153.426199078059 -27.957853854125002),2024-01-19,16,31,12.000,153.426199078059,-27.957853854125002
11372,16:31:13.000,POINT (153.42617453031914 -27.957814803045597),2024-01-19,16,31,13.000,153.42617453031914,-27.957814803045597
11373,16:31:16.000,POINT (153.42616845258388 -27.957827376762697),2024-01-19,16,31,16.000,153.42616845258388,-27.957827376762697
11374,16:31:17.000,POINT (153.42603524908176 -27.957825323776635),2024-01-19,16,31,17.000,153.42603524908176,-27.957825323776635
11375,16:31:19.000,POINT (153.42605872229936 -27.95781851253574),2024-01-19,16,31,19.000,153.42605872229936,-27.95781851253574
11376,16:31:21.000,POINT (153.42608223909585 -27.957802341736034),2024-01-19,16,31,21.000,153.42608223909585,-27.957802341736034
11377,16:31:27.000,POINT (153.4260865194361 -27.957810662384325),2024-01-19,16,31,27.000,153.4260865194361,-27.957810662384325
11378,16:31:32.000,POINT (153.42614451284658 -27.957844387916253),2024-01-19,16,31,32.000,153.42614451284658,-27.957844387916253
11379,16:31:43.000,POINT (153.4261382354194 -27.957870311158374),2024-01-19,16,31,43.000,153.4261382354194,-27.957870311158374
11380,16:31:46.000,POINT (153.4260841896115 -27.957834727930507),2024-01-19,16,31,46.000,153.4260841896115,-27.957834727930507
11381,16:31:49.000,POINT (153.42608692325942 -27.957835146555798),2024-01-19,16,31,49.000,153.42608692325942,-27.957835146555798
